index		value		comment
0		0		//
1		0		//
2		0		//
3		0		//
4		0		//
5		1		//
6		0		//
7		0		//
8		1		//
9		0		//
10		0		//
11		0		//
12		0		//
13		0		//
14		0		//
15		0		//
16		0		//
17		0		//
18		0		//
19		0		//
20		0		//
21		0		//
22		0		//
23		0		//
24		0		//
25		0		//
26		1		//
27		0		//
28		0		//
29		1		//
30		1		//
31		0		//
32		1		//
33		0		//
34		0		//
35		1		//
36		1		//
37		0		//
38		0		//
39		1		//
40		1		//
41		0		//
42		0		//
43		0		//
44		1		//
45		0		//
46		1		//
47		0		//
48		1		//
49		0		//
50		0		//
51		1		//
52		1		//
53		1		//
54		0		//
55		1		//
56		1		//
57		1		//
58		1		//
59		0		//
60		1		//
61		0		//
62		0		//
63		1		//
64		0		//
65		0		//
66		0		//
67		1		//
68		1		//
69		0		//
70		0		//
71		0		//
72		1		//
73		1		//
74		1		//
75		1		//
76		0		//
77		0		//
78		0		//
79		0		//
80		0		//
81		1		//
82		1		//
83		1		//
84		1		//
85		1		//
86		1		//
87		1		//
88		1		//
89		0		//
90		0		//
91		1		//
92		1		//
93		0		//
94		0		//
95		1		//
96		0		//
97		1		//
98		1		//
99		0		//
100		1		//
101		1		//
102		1		//
103		1		//
104		0		//
105		0		//
106		1		//
107		1		//
108		0		//
109		1		//
110		1		//
111		1		//
112		1		//
113		0		//
114		0		//
115		1		//
116		1		//
117		1		//
118		1		//
119		0		//
120		0		//
121		0		//
122		0		//
123		1		//
124		0		//
125		0		//
126		0		//
127		0		//
128		1		//
129		0		//
130		0		//
131		0		//
132		0		//
133		0		//
134		1		//
135		0		//
136		0		//
137		0		//
138		0		//
139		0		//
140		1		//
141		0		//
142		1		//
143		1		//
144		1		//
145		0		//
146		0		//
147		0		//
148		0		//
149		0		//
150		0		//
151		0		//
152		0		//
153		0		//
154		0		//
155		1		//
156		1		//
157		1		//
158		1		//
159		0		//
160		0		//
161		1		//
162		0		//
163		1		//
164		1		//
165		0		//
166		0		//
167		0		//
168		0		//
169		0		//
170		1		//
171		1		//
172		1		//
173		0		//
174		0		//
175		0		//
176		1		//
177		1		//
178		0		//
179		1		//
180		0		//
181		0		//
182		0		//
183		0		//
184		0		//
185		1		//
186		1		//
187		1		//
188		0		//
189		0		//
190		0		//
191		0		//
192		0		//
193		0		//
194		0		//
195		1		//
196		1		//
197		0		//
198		1		//
199		0		//
200		0		//
201		0		//
202		0		//
203		0		//
204		0		//
205		0		//
206		0		//
207		0		//
208		0		//
209		0		//
210		0		//
211		0		//
212		0		//
213		0		//
214		0		//
215		0		//
216		0		//
217		0		//
218		0		//
219		0		//
220		0		//
221		0		//
222		0		//
223		0		//
224		1		//
225		1		//
226		0		//
227		0		//
228		1		//
229		0		//
230		1		//
231		0		//
232		0		//
233		0		//
234		0		//
235		1		//
236		1		//
237		0		//
238		0		//
239		0		//
240		0		//
241		1		//
242		1		//
243		0		//
244		0		//
245		0		//
246		0		//
247		0		//
248		0		//
249		0		//
250		1		//
251		1		//
252		1		//
253		1		//
254		0		//
255		1		//
256		1		//
257		1		//
258		0		//
259		1		//
260		0		//
261		0		//
262		0		//
263		1		//
264		0		//
265		1		//
266		1		//
267		1		//
268		1		//
269		1		//
270		0		//
271		1		//
272		1		//
273		0		//
274		0		//
275		1		//
276		1		//
277		1		//
278		1		//
279		1		//
280		0		//
281		0		//
282		1		//
283		0		//
284		1		//
285		0		//
286		0		//
287		0		//
288		0		//
289		0		//
290		1		//
291		0		//
292		1		//
293		1		//
294		0		//
295		0		//
296		1		//
297		0		//
298		1		//
299		0		//
300		0		//
301		1		//
302		0		//
303		0		//
304		1		//
305		1		//
306		0		//
307		0		//
308		0		//
309		0		//
310		0		//
311		0		//
312		0		//
313		0		//
314		1		//
315		0		//
316		0		//
317		1		//
318		0		//
319		0		//
320		0		//
321		1		//
322		0		//
323		0		//
324		0		//
325		1		//
326		1		//
327		1		//
328		0		//
329		0		//
330		0		//
331		0		//
332		1		//
333		1		//
334		0		//
335		1		//
336		0		//
337		1		//
338		1		//
339		0		//
340		0		//
341		1		//
342		0		//
343		0		//
344		0		//
345		0		//
346		1		//
347		1		//
348		0		//
349		1		//
350		1		//
351		0		//
352		1		//
353		0		//
354		0		//
